timestamp,market_slug,side,entry_price,shares,outcome,pnl_usd
2026-04-19 18:29:57,btc-updown-5m-1776641100,UP,0.97,5,Up,0.15
2026-04-19 18:33:35,btc-updown-5m-1776641400,DOWN,0.78,6,Down,1.32
2026-04-19 18:34:36,btc-updown-5m-1776641400,DOWN,0.96,5,Down,0.2
2026-04-19 18:34:38,btc-updown-5m-1776641400,DOWN,0.96,5,Down,0.2
2026-04-19 18:34:41,btc-updown-5m-1776641400,DOWN,0.96,5,Down,0.2
2026-04-19 18:34:44,btc-updown-5m-1776641400,DOWN,0.97,5,Down,0.15
2026-04-19 18:34:50,btc-updown-5m-1776641400,DOWN,0.92,5,Down,0.4
2026-04-19 18:34:53,btc-updown-5m-1776641400,DOWN,0.93,5,Down,0.35
2026-04-19 18:34:55,btc-updown-5m-1776641400,DOWN,0.95,5,Down,0.25
2026-04-19 18:38:31,btc-updown-5m-1776641700,UP,0.77,6,Up,1.38
2026-04-19 18:39:35,btc-updown-5m-1776641700,UP,0.49,10,Up,5.1
2026-04-19 18:39:47,btc-updown-5m-1776641700,UP,0.71,7,Up,2.03
2026-04-19 18:39:50,btc-updown-5m-1776641700,UP,0.74,6,Up,1.56
2026-04-19 18:39:53,btc-updown-5m-1776641700,UP,0.84,5,Up,0.8
2026-04-19 18:39:56,btc-updown-5m-1776641700,UP,0.91,5,Up,0.45
2026-04-19 18:44:09,btc-updown-5m-1776642000,UP,0.73,6,Up,1.62
2026-04-19 18:44:38,btc-updown-5m-1776642000,UP,0.95,5,Up,0.25
2026-04-19 18:44:40,btc-updown-5m-1776642000,UP,0.96,5,Up,0.2
2026-04-19 18:44:43,btc-updown-5m-1776642000,UP,0.96,5,Up,0.2
2026-04-19 18:44:46,btc-updown-5m-1776642000,UP,0.97,5,Up,0.15
2026-04-19 18:44:49,btc-updown-5m-1776642000,UP,0.97,5,Up,0.15
2026-04-19 18:44:57,btc-updown-5m-1776642000,UP,0.91,5,Up,0.45
2026-04-19 18:48:42,btc-updown-5m-1776642300,UP,0.79,6,Up,1.26
2026-04-19 18:49:37,btc-updown-5m-1776642300,UP,0.75,6,Up,1.5
2026-04-19 18:49:40,btc-updown-5m-1776642300,UP,0.86,5,Up,0.7
2026-04-19 18:49:42,btc-updown-5m-1776642300,UP,0.86,5,Up,0.7
2026-04-19 18:49:45,btc-updown-5m-1776642300,UP,0.88,5,Up,0.6
2026-04-19 18:49:48,btc-updown-5m-1776642300,UP,0.97,5,Up,0.15
2026-04-19 18:49:51,btc-updown-5m-1776642300,UP,0.97,5,Up,0.15
2026-04-19 18:49:54,btc-updown-5m-1776642300,UP,0.96,5,Up,0.2
2026-04-19 18:53:32,btc-updown-5m-1776642600,UP,0.77,6,Up,1.38
2026-04-19 18:54:38,btc-updown-5m-1776642600,UP,0.09,55,Up,50.05
2026-04-19 18:54:41,btc-updown-5m-1776642600,UP,0.04,125,Up,120.0
2026-04-19 18:54:44,btc-updown-5m-1776642600,UP,0.34,14,Up,9.24
2026-04-19 18:54:47,btc-updown-5m-1776642600,UP,0.37,13,Up,8.19
2026-04-19 18:54:50,btc-updown-5m-1776642600,UP,0.33,15,Up,10.05
2026-04-19 18:54:53,btc-updown-5m-1776642600,UP,0.74,6,Up,1.56
2026-04-19 18:54:56,btc-updown-5m-1776642600,UP,0.92,5,Up,0.4
2026-04-19 18:58:31,btc-updown-5m-1776642900,DOWN,0.96,5,Down,0.2
2026-04-19 19:03:32,btc-updown-5m-1776643200,UP,0.92,5,Up,0.4
2026-04-19 19:08:32,btc-updown-5m-1776643500,DOWN,0.7,7,Down,2.1
2026-04-19 19:09:39,btc-updown-5m-1776643500,DOWN,0.66,7,Down,2.38
2026-04-19 19:09:42,btc-updown-5m-1776643500,DOWN,0.81,6,Down,1.14
2026-04-19 19:09:45,btc-updown-5m-1776643500,DOWN,0.76,6,Down,1.44
2026-04-19 19:09:48,btc-updown-5m-1776643500,DOWN,0.31,16,Down,11.04
2026-04-19 19:09:51,btc-updown-5m-1776643500,DOWN,0.56,8,Down,3.52
2026-04-19 19:09:54,btc-updown-5m-1776643500,DOWN,0.63,7,Down,2.59
2026-04-19 19:09:57,btc-updown-5m-1776643500,DOWN,0.64,7,Down,2.52
2026-04-19 19:14:25,btc-updown-5m-1776643800,UP,0.7,7,Down,-4.9
2026-04-19 19:14:37,btc-updown-5m-1776643800,UP,0.55,9,Down,-4.95
2026-04-19 19:14:40,btc-updown-5m-1776643800,UP,0.61,8,Down,-4.88
2026-04-19 19:14:44,btc-updown-5m-1776643800,UP,0.63,7,Down,-4.41
2026-04-19 19:14:46,btc-updown-5m-1776643800,UP,0.66,7,Down,-4.62
2026-04-19 19:14:49,btc-updown-5m-1776643800,UP,0.68,7,Down,-4.76
2026-04-19 19:14:52,btc-updown-5m-1776643800,UP,0.42,11,Down,-4.62
2026-04-19 19:14:55,btc-updown-5m-1776643800,UP,0.27,18,Down,-4.86
2026-04-19 19:18:32,btc-updown-5m-1776644100,UP,0.91,5,Up,0.45
2026-04-19 19:23:32,btc-updown-5m-1776644400,UP,0.76,6,Up,1.44
2026-04-19 19:24:37,btc-updown-5m-1776644400,UP,0.96,5,Up,0.2
